x,value
-19.708,0.4529192943105958
-19.707,0.4451447786283086
-19.706,0.4375007469242214
-19.705,0.42998480591994365
-19.704,0.42259494555341587
-19.703,0.4153292197604219
-19.702,0.4081853445593229
-19.701,0.40116149833131387
-19.7,0.39425556649211857
-19.699,0.3874657075808895
-19.698,0.38078978035375977
-19.697,0.37422624810913147
-19.696,0.36777280841534227
-19.695,0.36142791252314177
-19.694,0.3551898078598563
-19.693,0.3490565192298616
-19.692,0.3430264875721909
-19.691,0.3370979334560411
-19.69,0.33126908826172513
-19.689,0.32553843761850765
-19.688,0.319904303088757
-19.687,0.3143650136856016
-19.686,0.30891913644509555
-19.685,0.30356499558107275
-19.684,0.2983010894882669
-19.683,0.29312601118985865
-19.682,0.2880382264961909
-19.681,0.2830363370783475
-19.68,0.2781188706392177
-19.679,0.27328429392854614
-19.678,0.268531421014211
-19.677,0.263858815026064
-19.676,0.2592653064369973
-19.675,0.254749287550245
-19.674,0.2503097654708006
-19.673,0.24594524320411768
-19.672,0.24165460257048624
-19.671,0.23743664123168812
-19.67,0.23328999351730464
-19.669,0.2292136555012632
-19.668,0.22520636493326007
-19.667,0.22126699596963567
-19.666,0.21739438128060495
-19.665,0.21358750231547166
-19.664,0.20984519443822647
-19.663,0.20616643060367187
-19.662,0.20255007862821542
-19.661,0.1989951868248268
-19.66,0.19550067899017004
-19.659,0.1920655904445059
-19.658,0.1886889250161369
-19.657,0.18536966271004535
-19.656,0.18210694942776393
-19.655,0.1788997500097546
-19.654,0.17574716849092803
-19.653,0.17264830971594639
-19.652,0.1696023053186812
-19.651,0.16660821692665076
-19.65,0.1636652572858972
-19.649,0.16077247759757057
-19.648,0.1579290406761605
-19.647,0.15513424760254166
-19.646,0.15238720749805726
-19.645,0.14968709187767393
-19.644,0.14703321675085862
-19.643,0.1444247165524659
-19.642,0.14186086943738846
-19.641,0.13934094961832763
-19.64,0.13686422680483015
-19.639,0.13442993526381616
-19.638,0.1320374292124427
-19.637,0.12968590197627733
-19.636,0.12737479109889474
-19.635,0.1251034070289324
-19.634,0.12287102403148314
-19.633,0.12067699985851928
-19.632,0.11852072410403537
-19.631,0.11640157624557791
-19.63,0.11431887686527097
-19.629,0.11227206864303962
-19.628,0.1102605629210393
-19.627,0.10828372960504352
-19.626,0.10634099400562633
-19.625,0.10443179743772286
-19.624,0.10255556637945369
-19.623,0.1007117413940387
-19.622,0.09889980642478148
-19.621,0.09711923867564266
-19.62,0.09536945674658091
-19.619,0.09364998263504652
-19.618,0.09196029665675245
-19.617,0.09029992388913101
-19.616,0.08866832430534954
-19.615,0.08706504017488756
-19.614,0.08548961317333177
-19.613,0.0839415501273029
-19.612,0.08242039241183137
-19.611,0.08092568004509727
-19.61,0.07945700812340761
-19.609,0.07801390299666137
-19.608,0.07659593831684221
-19.607,0.07520269791655693
-19.606,0.0738337631606585
-19.605,0.0724887259844966
-19.604,0.0711671630672094
-19.603,0.06986872580742726
-19.602,0.06859296510646948
-19.601,0.0673395358126688
-19.6,0.06610806193257623
-19.599,0.06489815538299702
-19.598,0.06370945866170653
-19.597,0.062541600713941
-19.596,0.06139425541975779
-19.595,0.060267060343345495
-19.594,0.05915967383602993
-19.593,0.05807176314321144
-19.592,0.05700299575323934
-19.591,0.055953023876698496
-19.59,0.05492159212633198
-19.589,0.05390832153097294
-19.588,0.05291293678038108
-19.587,0.05193512112924229
-19.586,0.0509745981481408
-19.585,0.05003103691732426
-19.584,0.049104166264554
-19.583,0.04819370315445199
-19.582,0.047299389355876346
-19.581,0.04642090911109864
-19.58,0.04555801557216213
-19.579,0.0447104430598521
-19.578,0.043877934195606816
-19.577,0.043060211599781635
-19.576,0.04225704295392419
-19.575,0.0414681776932511
-19.574,0.0406933553537492
-19.573,0.03993235295867989
-19.572,0.03918493421386038
-19.571,0.03845084339683262
-19.57,0.0377298742065372
-19.569,0.03702179531416787
-19.568,0.03632639610364699
-19.567,0.03564343544659215
-19.566,0.03497272674993041
-19.565,0.03431403931553932
-19.564,0.033667179458643115
-19.563,0.03303193050516858
-19.562,0.03240809669545495
-19.561,0.03179549264822122
-19.56,0.031193918612861127
-19.559,0.030603169378777512
-19.558,0.030023079684682825
-19.557,0.02945346106149414
-19.556,0.028894124234237345
-19.555,0.028344897119264162
-19.554,0.027805603666936157
-19.553,0.02727607203763245
-19.552,0.026756138058262137
-19.551,0.026245620767347436
-19.55,0.025744380002599904
-19.549,0.025252235650467535
-19.548,0.024769029433234606
-19.547,0.024294622962216045
-19.546,0.023828844072729095
-19.545,0.023371561491029657
-19.544,0.02292261035642789
-19.543,0.02248185738563689
-19.542,0.022049149508507525
-19.541,0.021624356412445003
-19.54,0.02120733704627179
-19.539,0.020797951468669005
-19.538,0.020396069814071636
